table	column	label	nulltype	datatype	structure	description
table	table			label	unique	name of this table
table	path			line		path to the TSV file for this table, relative to the table.tsv file
table	type		empty	table_type		type of this table, used for tables with special meanings
table	description		empty	text		a description of this table
column	table			label	from(table.table)	the table that this column belongs to
column	column			label		the name of this column
column	nulltype		empty	word	from(datatype.datatype)	the datatype for NULL values in this column
column	datatype			word	from(datatype.datatype)	the datatype for this column
column	structure		empty	label		schema information for this column
column	description		empty	text		a description of this column
datatype	datatype			word	primary	the name of this datatype
datatype	parent		empty	word	tree(datatype)	the parent datatype
datatype	condition		empty	line		the method for testing the datatype
datatype	description		empty	text		a description of this datatype
datatype	SQL type		empty	sql_type		the SQL type for representing this data
datatype	HTML type		empty	html_type		the HTML type for viewing and editing this data
prefix	prefix			prefix	primary	prefixes used for CURIEs
prefix	base			IRI	unique	base IRIs used with prefixes
organism_core	curie			taxon_CURIE	primary	the NCBI or IEDB taxon ID
organism_core	label			label	unique	the label for this taxon
organism_core	label_source			label		the source of the label for this taxon
organism_core	iedb_synonyms		empty	semicolon_labels		a list of IEDB's synonyms, separated by semicolons
organism_core	parent		empty	taxon_CURIE	tree(curie)	the ID of the parent of this taxon
organism_core	parent_label		empty	label	tree(label)	the label of the parent of this taxon
organism_core	level			taxon_level		the level of the taxon: upper, species, lower
organism_core	use_other		empty	boolean		true when an 'Other X' node should collect outliers for this taxon
organism_tree_tsv	curie			taxon_CURIE	primary	the CURIE for this taxon
organism_tree_tsv	label			label	unique	the label for this taxon
organism_tree_tsv	label_source			label		the source for this label
organism_tree_tsv	rank		empty	label		the taxonomic rank for this taxon
organism_tree_tsv	level		empty	taxon_level		the level of the taxon: upper, species, lower
organism_tree_tsv	epitope_count		empty	natural_number		the number of epitopes in IEDB for this taxon
organism_tree_tsv	parent			CURIE		the parent for this taxon
organism_tree_tsv	parent_label			label		the label of the parent
organism_tree_tsv	parent2		empty	CURIE		the second parent for this taxon
organism_tree_tsv	parent2_label		empty	label		the label of the second parent
organism_tree_tsv	species		empty	CURIE		the species that this taxon belongs to (if any)
organism_tree_tsv	species_label		empty	label		the label of the species
organism_tree_tsv	source_table			label		the table that this node was generated from
organism_tree_tsv	use_other		empty	boolean		true when an 'Other X' node should collect outliers for this taxon
active_species	Species Key			label	primary	the taxon ID and normalized label of this species, used for directory names
active_species	Species ID			tax_id	unique	the taxon ID of this species
active_species	Species Label			label	unique	the label for this species
active_species	Active Taxa			tax_ids	unique	a list of taxon IDs for taxa used by IEDB that fall under this species
active_species	Group			taxon_group		a high-level grouping of taxa into kingdoms
proteome	Species Key			label	primary	
proteome	Species ID			tax_id	unique	
proteome	Species Label			label	unique	
proteome	Active Taxa			tax_ids	unique	
proteome	Group			label		
proteome	Proteome Type		empty	label		
proteome	Proteome ID		empty	label	unique	
proteome	Proteome Organism ID		empty	label	unique	
proteome	Proteome Label		empty	label	unique	
proteome	Proteome Link		empty	label	unique	
proteome	Updated		empty	label		
peptide_assignments	Species Taxon ID
peptide_assignments	Species Name
peptide_assignments	Accession
peptide_assignments	Sequence
peptide_assignments	Source Name
peptide_assignments	Organism ID
peptide_assignments	Assigned Gene
peptide_assignments	Assigned Protein ID
peptide_assignments	Assigned Protein Name
peptide_assignments	ARC Assignment
source_assignments	Species Taxon ID
source_assignments	Species Name
source_assignments	Accession
source_assignments	Name
source_assignments	Organism ID
source_assignments	Length
source_assignments	Assigned Gene
source_assignments	Assigned Protein ID
source_assignments	Assigned Protein Name
source_assignments	Assignment Score
source_assignments	ARC Assignment
