Species Key	Species ID	Species Label	Active Taxa	Group	Proteome ID	Proteome Taxon	Proteome Type	Species Name	Proteome Label	Updated
24-Shewanella-putrefaciens	24	Shewanella putrefaciens	319224	bacterium	UP000008209	399804	Other	Shewanella putrefaciens	Shewanella putrefaciens (strain 200)	2024-07-15
106-Runella-slithyformis	106	Runella slithyformis	106, 761193	bacterium	UP000000493	761193	Representative	Runella slithyformis	Runella slithyformis (strain ATCC 29530 / DSM 19594 / LMG 11500 / NCIMB 11436 / LSU 4)	2024-07-15
108-Spirosoma-linguale	108	Spirosoma linguale	108	bacterium	UP000002028	504472	Other	Spirosoma linguale	Spirosoma linguale (strain ATCC 33905 / DSM 74 / LMG 10896 / Claus 1)	2024-07-15
139-Borreliella-burgdorferi-Lyme-disease-spirochete	139	Borreliella burgdorferi (Lyme disease spirochete)	139, 224326, 445983, 445985, 521007, 521009, 10000675, 10001091	bacterium	UP000001807	224326	Representative	Borreliella burgdorferi (Lyme disease spirochete)	Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31)	2024-07-15
158-Treponema-denticola	158	Treponema denticola	158	bacterium	UP000008212	243275	Representative	Treponema denticola	Treponema denticola (strain ATCC 35405 / DSM 14222 / CIP 103919 / JCM 8153 / KCTC 15104)	2024-07-15
160-Treponema-pallidum	160	Treponema pallidum	160, 161, 243276, 10001021	bacterium	UP000000811	243276	Representative	Treponema pallidum	Treponema pallidum (strain Nichols)	2024-07-15
162-Treponema-phagedenis	162	Treponema phagedenis	754027	bacterium	UP000042527	162	Representative	Treponema phagedenis	Treponema phagedenis	2024-07-15
173-Leptospira-interrogans	173	Leptospira interrogans	173, 44275, 44276, 57678, 189518, 211882, 267671, 1279460, 10000814	bacterium	UP000093180	211880	Representative	Leptospira interrogans	Leptospira interrogans serovar Canicola	2024-07-15
174-Leptospira-borgpetersenii	174	Leptospira borgpetersenii	280504, 338220	bacterium	UP000011783	1193007	Representative	Leptospira borgpetersenii	Leptospira borgpetersenii str. 200701203	2024-07-15
188-Paramagnetospirillum-magnetotacticum	188	Paramagnetospirillum magnetotacticum	272627	bacterium	UP000031971	272627	Other	Paramagnetospirillum magnetotacticum	Paramagnetospirillum magnetotacticum MS-1	2024-07-15
195-Campylobacter-coli	195	Campylobacter coli	195, 306254	bacterium	UP000333665	195	Other	Campylobacter coli	Campylobacter coli	2024-07-15
196-Campylobacter-fetus	196	Campylobacter fetus	32019	bacterium	UP000000760	360106	Representative	Campylobacter fetus	Campylobacter fetus subsp. fetus (strain 82-40)	2024-07-15
197-Campylobacter-jejuni	197	Campylobacter jejuni	197, 192222, 195099, 354242, 360112, 398000, 407148, 482628, 567106	bacterium	UP000000799	192222	Representative	Campylobacter jejuni	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	2024-07-15
199-Campylobacter-concisus	199	Campylobacter concisus	199	bacterium	UP000001121	360104	Other	Campylobacter concisus	Campylobacter concisus (strain 13826)	2024-07-15
200-Campylobacter-curvus	200	Campylobacter curvus	200	bacterium	UP000006380	360105	Representative	Campylobacter curvus	Campylobacter curvus (strain 525.92)	2024-07-15
201-Campylobacter-lari	201	Campylobacter lari	306263	bacterium	UP000007727	306263	Representative	Campylobacter lari	Campylobacter lari (strain RM2100 / D67 / ATCC BAA-1060)	2024-07-15
203-Campylobacter-rectus	203	Campylobacter rectus	203	bacterium	UP000003082	553218	Other	Campylobacter rectus	Campylobacter rectus RM3267	2024-07-15
210-Helicobacter-pylori	210	Helicobacter pylori	210, 85962, 85963, 102617, 102618, 290847, 637383, 866344, 992121, 1337393, 1352357	bacterium	UP000000429	85962	Representative	Helicobacter pylori	Helicobacter pylori (strain ATCC 700392 / 26695)	2024-07-15
235-Brucella-abortus-Brucella-melitensis-bv-Abortus	235	Brucella abortus (Brucella melitensis bv. Abortus)	235, 262698, 359391, 430066, 520450, 575591, 641140	bacterium	UP000002719	359391	Representative	Brucella abortus (Brucella melitensis bv. Abortus)	Brucella abortus (strain 2308)	2024-07-15
236-Brucella-ovis-Brucella-melitensis-bv-Ovis	236	Brucella ovis (Brucella melitensis bv. Ovis)	236, 444178, 10001886, 10001887, 10001888	bacterium	UP000006383	444178	Other	Brucella ovis (Brucella melitensis bv. Ovis)	Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512)	2024-07-15
263-Francisella-tularensis	263	Francisella tularensis	263, 119856, 177416, 351581, 376619, 393011, 393115, 418136, 430557, 458234	bacterium	UP000001174	177416	Representative	Francisella tularensis	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)	2024-07-15
266-Paracoccus-denitrificans	266	Paracoccus denitrificans	266, 318586	bacterium	UP000000361	318586	Representative	Paracoccus denitrificans	Paracoccus denitrificans (strain Pd 1222)	2024-07-15
271-Thermus-aquaticus	271	Thermus aquaticus	271	bacterium	UP000037685	271	Other	Thermus aquaticus	Thermus aquaticus	2024-07-15
274-Thermus-thermophilus	274	Thermus thermophilus	274, 262724, 300852	bacterium	UP000000532	300852	Representative	Thermus thermophilus	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	2024-07-15
280-Xanthobacter-autotrophicus	280	Xanthobacter autotrophicus	280, 78245	bacterium	UP000002417	78245	Representative	Xanthobacter autotrophicus	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	2024-07-15
285-Comamonas-testosteroni	285	Comamonas testosteroni	285	bacterium	UP000003039	399795	Other	Comamonas testosteroni	Comamonas testosteroni (strain DSM 14576 / KF-1)	2024-07-15
287-Pseudomonas-aeruginosa	287	Pseudomonas aeruginosa	287, 208963, 208964, 350703, 350704, 388272, 1009714, 1081927, 10000723, 10000815, 10000817, 10000818, 10001057, 10001058	bacterium	UP000002438	208964	Representative	Pseudomonas aeruginosa	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	2024-07-15
292-Burkholderia-cepacia-Burkholderia-cepacia-genomovar-I	292	Burkholderia cepacia (Burkholderia cepacia genomovar I)	292	bacterium	UP000032866	1009846	Other	Burkholderia cepacia (Burkholderia cepacia genomovar I)	Burkholderia cepacia GG4	2024-07-15
294-Pseudomonas-fluorescens	294	Pseudomonas fluorescens	294	bacterium	UP000022611	1042209	Representative	Pseudomonas fluorescens	Pseudomonas fluorescens HK44	2024-07-15
298-Pseudomonas-marginalis	298	Pseudomonas marginalis	298	bacterium	UP000077563	298	Other	Pseudomonas marginalis	Pseudomonas marginalis	2024-07-15
300-Pseudomonas-mendocina	300	Pseudomonas mendocina	300	bacterium	UP000254260	300	Other	Pseudomonas mendocina	Pseudomonas mendocina	2024-07-15
303-Pseudomonas-putida	303	Pseudomonas putida	303, 351746	bacterium	UP000000556	160488	Representative	Pseudomonas putida	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	2024-07-15
312-Pseudomonas-sp-RS-16	312	Pseudomonas sp. RS-16	312	bacterium		312	Orphans	Pseudomonas sp. RS-16	Pseudomonas sp. (strain RS-16)	2024-07-15
316-Stutzerimonas-stutzeri	316	Stutzerimonas stutzeri	316	bacterium	UP000000233	379731	Representative	Stutzerimonas stutzeri	Stutzerimonas stutzeri (strain A1501)	2024-07-15
317-Pseudomonas-syringae	317	Pseudomonas syringae	317	bacterium	UP000019089	1357279	Other	Pseudomonas syringae	Pseudomonas syringae CC1557	2024-07-15
329-Ralstonia-pickettii	329	Ralstonia pickettii	1366050	bacterium	UP000441032	329	Other	Ralstonia pickettii	Ralstonia pickettii	2024-07-15
346-Xanthomonas-citri	346	Xanthomonas citri	346	bacterium	UP000052230	611301	Other	Xanthomonas citri	Xanthomonas citri pv. citri	2024-07-15
354-Azotobacter-vinelandii	354	Azotobacter vinelandii	354, 322710	bacterium	UP000002424	322710	Other	Azotobacter vinelandii	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	2024-07-15
358-Agrobacterium-tumefaciens-Agrobacterium-genomic-group-1	358	Agrobacterium tumefaciens (Agrobacterium genomic group 1)	358	bacterium	UP000033113	358	Other	Agrobacterium tumefaciens (Agrobacterium genomic group 1)	Rhizobium radiobacter	2024-07-15
382-Sinorhizobium-meliloti	382	Sinorhizobium meliloti	382, 266834	bacterium	UP000001976	266834	Representative	Sinorhizobium meliloti	Rhizobium meliloti (strain 1021)	2024-07-15
384-Rhizobium-leguminosarum	384	Rhizobium leguminosarum	384	bacterium	UP000002256	395491	Other	Rhizobium leguminosarum	Rhizobium leguminosarum bv. trifolii (strain WSM1325)	2024-07-15
