Species Key	Species ID	Species Label	Active Taxa	Group
24-Shewanella-putrefaciens	24	Shewanella putrefaciens	319224	bacterium
56-Sorangium-cellulosum	56	Sorangium cellulosum	1254432	bacterium
106-Runella-slithyformis	106	Runella slithyformis	106, 761193	bacterium
108-Spirosoma-linguale	108	Spirosoma linguale	108	bacterium
139-Borreliella-burgdorferi-Lyme-disease-spirochete	139	Borreliella burgdorferi (Lyme disease spirochete)	139, 224326, 445983, 445985, 498738, 498739, 498740, 521007, 521009, 10000675, 10001091	bacterium
140-Borrelia-hermsii	140	Borrelia hermsii	140	bacterium
158-Treponema-denticola	158	Treponema denticola	158	bacterium
159-Brachyspira-hyodysenteriae	159	Brachyspira hyodysenteriae	159	bacterium
160-Treponema-pallidum	160	Treponema pallidum	160, 161, 243276, 455434, 10001021	bacterium
162-Treponema-phagedenis	162	Treponema phagedenis	162, 754027	bacterium
172-Leptospira-biflexa	172	Leptospira biflexa	145259	bacterium
173-Leptospira-interrogans	173	Leptospira interrogans	173, 44275, 44276, 57678, 90062, 174157, 189518, 211880, 211882, 214675, 267671, 312175, 342794, 399364, 860644, 1049805, 1049927, 1279460, 10000814	bacterium
174-Leptospira-borgpetersenii	174	Leptospira borgpetersenii	280504, 280507, 338220, 355277, 1049781, 1218569	bacterium
188-Magnetospirillum-magnetotacticum	188	Magnetospirillum magnetotacticum	272627	bacterium
195-Campylobacter-coli	195	Campylobacter coli	195, 306254	bacterium
196-Campylobacter-fetus	196	Campylobacter fetus	196, 32019	bacterium
197-Campylobacter-jejuni	197	Campylobacter jejuni	197, 32022, 192222, 195099, 354242, 360112, 398000, 407148, 482628, 567106, 1338035, 1347340, 10000679, 10002003	bacterium
199-Campylobacter-concisus	199	Campylobacter concisus	199	bacterium
200-Campylobacter-curvus	200	Campylobacter curvus	200	bacterium
201-Campylobacter-lari	201	Campylobacter lari	306263	bacterium
203-Campylobacter-rectus	203	Campylobacter rectus	203, 553218	bacterium
210-Helicobacter-pylori	210	Helicobacter pylori	210, 85962, 85963, 102617, 102618, 290847, 563041, 570508, 637383, 684950, 866344, 981216, 992121, 1337393, 1352357, 10000718, 10000720, 10000721, 10001667, 10001794	bacterium
214-Helicobacter-felis	214	Helicobacter felis	214	bacterium
235-Brucella-abortus-Brucella-melitensis-bv-Abortus	235	Brucella abortus (Brucella melitensis bv. Abortus)	235, 35802, 262698, 359391, 430066, 520450, 522260, 575591, 641140, 1169205, 10001424	bacterium
236-Brucella-ovis-Brucella-melitensis-bv-Ovis	236	Brucella ovis (Brucella melitensis bv. Ovis)	236, 444178, 10001886, 10001887, 10001888	bacterium
263-Francisella-tularensis	263	Francisella tularensis	263, 264, 119856, 177416, 351581, 376619, 393011, 393115, 401614, 418136, 430556, 430557, 441952, 458234, 545422	bacterium
266-Paracoccus-denitrificans	266	Paracoccus denitrificans	266, 318586	bacterium
271-Thermus-aquaticus	271	Thermus aquaticus	271	bacterium
274-Thermus-thermophilus	274	Thermus thermophilus	274, 262724, 300852	bacterium
