Species Key	Species ID	Species Label	Active Taxa	Group	Proteome Type	Proteome ID	Proteome Organism ID	Proteome Label	Proteome Link	Updated
24-Shewanella-putrefaciens	24	Shewanella putrefaciens	319224	bacterium	Non-Redundant	UP000006699	319224	Shewanella putrefaciens (strain CN-32 / ATCC BAA-453) (Strain: CN-32 / ATCC BAA-453)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000006699	2023-07-14
56-Sorangium-cellulosum	56	Sorangium cellulosum	1254432	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:56	2023-09-01
106-Runella-slithyformis	106	Runella slithyformis	106, 761193	bacterium	Non-Redundant	UP000000493	761193	Runella slithyformis (strain ATCC 29530 / DSM 19594 / LMG 11500 / NCIMB 11436 / LSU 4) (Strain: ATCC 29530 / DSM 19594 / LMG 11500 / NCIMB 11436 / LSU 4)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000493	2023-07-14
108-Spirosoma-linguale	108	Spirosoma linguale	108	bacterium	Non-Redundant	UP000002028	504472	Spirosoma linguale (strain ATCC 33905 / DSM 74 / LMG 10896) (Strain: ATCC 33905 / DSM 74 / LMG 10896)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002028	2023-07-14
139-Borreliella-burgdorferi-Lyme-disease-spirochete	139	Borreliella burgdorferi (Lyme disease spirochete)	139, 224326, 445983, 445985, 498738, 498739, 498740, 521007, 521009, 747491, 10000675, 10001091	bacterium	Reference	UP000001807	224326	Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680) (Strain: ATCC 35210 / B31 / CIP 102532 / DSM 4680)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001807	2023-07-14
140-Borrelia-hermsii	140	Borrelia hermsii	140	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:140	2023-09-01
158-Treponema-denticola	158	Treponema denticola	158	bacterium	Reference	UP000008212	243275	Treponema denticola (strain ATCC 35405 / DSM 14222 / CIP 103919 / JCM 8153 / KCTC 15104) (Strain: ATCC 35405 / DSM 14222 / CIP 103919 / JCM 8153 / KCTC 15104)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000008212	2023-07-14
159-Brachyspira-hyodysenteriae	159	Brachyspira hyodysenteriae	159	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:159	2023-09-01
160-Treponema-pallidum	160	Treponema pallidum	160, 161, 243276, 455434, 10001021	bacterium	Reference	UP000000811	243276	Treponema pallidum (strain Nichols) (Strain: Nichols)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000811	2023-07-14
162-Treponema-phagedenis	162	Treponema phagedenis	162, 754027	bacterium	Reference	UP000004157	754027	Treponema phagedenis F0421 (Strain: F0421)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000004157	2023-07-14
172-Leptospira-biflexa	172	Leptospira biflexa	145259	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:172	2023-09-01
173-Leptospira-interrogans	173	Leptospira interrogans	173, 44275, 44276, 57678, 90062, 174157, 189518, 211880, 211882, 214675, 267671, 312175, 342794, 399364, 860644, 1049805, 1049927, 1279460, 10000814	bacterium	Reference	UP000001408	189518	Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) (Strain: 56601)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001408	2023-07-14
174-Leptospira-borgpetersenii	174	Leptospira borgpetersenii	280504, 280507, 338220, 355277, 1049781, 1218569	bacterium	Representative	UP000011783	1193007	Leptospira borgpetersenii str. 200701203	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000011783	2023-09-01
188-Magnetospirillum-magnetotacticum	188	Magnetospirillum magnetotacticum	272627	bacterium	Non-Redundant	UP000031971	272627	Magnetospirillum magnetotacticum MS-1 (Strain: MS-1)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000031971	2023-07-14
195-Campylobacter-coli	195	Campylobacter coli	195, 306254	bacterium	Non-Redundant	UP000411403	195	Campylobacter coli (Strain: CVM N17C171)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000411403	2023-07-14
