Organism ID	Organism Name	Accession	Name	Parent Database	Parent Accession	Parent Name	Accession Gene
9913	Bos taurus	SRC351974	immunoglobulin gamma3 heavy chain constant region	ARC	ab	Immunoglobulin chain	
9913	Bos taurus	SRC351975	immunoglobulin gamma4 heavy chain variable region	ARC	ab	Immunoglobulin chain	
10116	Rattus norvegicus	SRC255115	MHC class I RT1.Au	ARC	mhc	Major Histocompatibility Complex chain	
10116	Rattus norvegicus	SRC255186	MHC Class II RT1.Du	ARC	mhc	Major Histocompatibility Complex chain	
10116	Rattus norvegicus	SRC279940	RT1 class I histocompatibility antigen, AA alpha chain	ARC	ab	Immunoglobulin chain	
3369	Cryptomeria japonica	SRC268309	Sugi basic protein	IUIS	P18632	Cry j 1	
3369	Cryptomeria japonica	SRC268310	Polygalacturonase	IUIS	P43212	Cry j 2	
3728	Sinapis alba	SRC269022	Allergen Sin a 1	IUIS	P15322	Sin a 1	
3750	Malus domestica	SRC268313	Major allergen Mal d 1	IUIS	P43211	Mal d 1	
3818	Arachis hypogaea	SRC280642	Major Peanut Allergen Ara H 1	IUIS	P43238	Ara h 1	
3818	Arachis hypogaea	SRC292177	Major Peanut Allergen Ara H 2	IUIS	Q6PSU2	Ara h 2	
3818	Arachis hypogaea	SRC379595	Major Peanut Allergen Ara H 6	IUIS	Q647G9	Ara h 6	
3847	Glycine max	SRC265915	Hydrophobic seed protein	IUIS	Q9S8F3	Gly m 1	
3847	Glycine max	SRC457181	beta-conglycinin alpha subunit	IUIS	O22120	Gly m 5	
3981	Hevea brasiliensis	Q39967.3	Major latex allergen Hev b 5	IUIS	Q39967	Hev b 5	
4081	Solanum lycopersicum	SRC245008	Lyc e 2.0101	IUIS	Q547Q0	Sola l 2	
4182	Sesamum indicum	SRC269023	2S seed storage protein 1	IUIS	Q9AUD1	Ses i 1	
4212	Ambrosia artemisiifolia	CAM97351.1	ragweed homologue of Art v 1 (isoform 1), partial	IUIS	D4IHC0	Amb a 4	
4212	Ambrosia artemisiifolia	CAM97352.1	ragweed homologue of Art v 1 (isoform 1), partial	IUIS	D4IHC0	Amb a 4	
4220	Artemisia vulgaris	AAO24900.1	major pollen allergen Art v 1 precursor	IUIS	Q84ZX5	Art v 1	
4220	Artemisia vulgaris	Q84ZX5.1	Major pollen allergen Art v 1 precursor	IUIS	Q84ZX5	Art v 1	
4509	Dactylis glomerata	AAK62278.1	group 5 allergen precursor	IUIS	270	Dac g 5	
4509	Dactylis glomerata	AAP96759.1	group 1 allergen Dac g 1.01 precursor	IUIS	Q7M1X8	Dac g 1	
4509	Dactylis glomerata	CAD20406.1	unnamed protein product	IUIS	Q7M1X8	Dac g 1	
4509	Dactylis glomerata	Q7XAX7	Group 1 allergen Dac g 1.02 precursor	IUIS	Q7M1X8	Dac g 1	
4522	Lolium perenne	SRC269024	Pollen allergen Lol p 1	IUIS	P14946	Lol p 1	
4550	Secale cereale	AAB58403.1	omega secalin	IUIS	Q9S8H2	Sec c 38	
4550	Secale cereale	ABO32294.1	75k gamma secalin	IUIS	Q9S8B0	Sec c 20	
4550	Secale cereale	CAA42836.1	Sec1 precursor	IUIS	Q9S8H2	Sec c 38	
4550	Secale cereale	Q05573.1	Sec1	IUIS		Sec c 38	
4550	Secale cereale	SRC335637	75k gamma secalin	IUIS	Q9S8B0	Sec c 20	
4550	Secale cereale	SRC454240	Sec c 1	IUIS	Q9S8H2	Sec c 38	
4565	Triticum aestivum	AAA96522.1	alpha-gliadin storage protein	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	AAB48479.1	low-molecular-weight glutenin storage protein	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	AAG17702.1	omega gliadin storage protein	IUIS	Q402I5	Tri a 19	
4565	Triticum aestivum	AAK84772.1	gamma-gliadin	IUIS	A0A060N479	Tri a 20	
4565	Triticum aestivum	AAR98780.2	high-molecular-weight glutenin subunit 1Dx2.1	IUIS	P10388	Tri a 26	
4565	Triticum aestivum	AAT01617.1	omega gliadin	IUIS	Q402I5	Tri a 19	
4565	Triticum aestivum	ABB17935.1	gamma-gliadin/LMW-glutenin chimera Ch1 precursor	IUIS	A0A060N479	Tri a 20	
4565	Triticum aestivum	ABG54322.1	low molecular weight glutenin subunit	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	ABG68042.1	X-type HMW glutenin	IUIS	P10388	Tri a 26	
4565	Triticum aestivum	ABQ52118.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	ABQ52123.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
