Unnamed: 0	Organism ID	Organism Name	Accession	Protein Name	Parent Database	Parent Accession	Parent Name	Unnamed: 7	Unnamed: 8	Unnamed: 9	Accession Gene
0	9913	Bos taurus	SRC351974	immunoglobulin gamma3 heavy chain constant region	ARC	ab	Immunoglobulin chain				
1	9913	Bos taurus	SRC351975	immunoglobulin gamma4 heavy chain variable region	ARC	ab	Immunoglobulin chain				
2	10116	Rattus norvegicus	SRC255115	MHC class I RT1.Au	ARC	mhc	Major Histocompatibility Complex chain				
3	10116	Rattus norvegicus	SRC255186	MHC Class II RT1.Du	ARC	mhc	Major Histocompatibility Complex chain				
4	10116	Rattus norvegicus	SRC268315	Ig gamma-1 chain C region	ARC	ab	Immunoglobulin chain				
5	10116	Rattus norvegicus	SRC279940	RT1 class I histocompatibility antigen, AA alpha chain	ARC	ab	Immunoglobulin chain				
6	3369	Cryptomeria japonica	SRC268309	Sugi basic protein	IUIS	245	Cry j 1				
7	3369	Cryptomeria japonica	SRC268310	Polygalacturonase	IUIS	246	Cry j 2				
8	3728	Sinapis alba	SRC269022	Allergen Sin a 1	IUIS	592	Sin a 1				
9	3750	Malus domestica	SRC268313	Major allergen Mal d 1	IUIS	425	Mal d 1				
10	3818	Arachis hypogaea	SRC280642	Major Peanut Allergen Ara H 1	IUIS	75	Ara h 1				
11	3818	Arachis hypogaea	SRC292177	Major Peanut Allergen Ara H 2	IUIS	78	Ara h 2				
12	3818	Arachis hypogaea	SRC379595	Major Peanut Allergen Ara H 6	IUIS	82	Ara h 6				
13	3847	Glycine max	SRC265915	Hydrophobic seed protein	IUIS	342	Gly m 1				
14	3847	Glycine max	SRC457181	beta-conglycinin alpha subunit	IUIS	346	Gly m 5				
15	3981	Hevea brasiliensis	Q39967.3	Major latex allergen Hev b 5	IUIS	363	Hev b 5				
16	4081	Solanum lycopersicum	SRC245008	Lyc e 2.0101	IUIS	423	Sola l 2				
17	4182	Sesamum indicum	SRC269023	2S seed storage protein 1	IUIS	585	Ses i 1				
18	4212	Ambrosia artemisiifolia	CAM97351.1	ragweed homologue of Art v 1 (isoform 1), partial	IUIS	686	Amb a 4				
19	4212	Ambrosia artemisiifolia	CAM97352.1	ragweed homologue of Art v 1 (isoform 1), partial	IUIS	686	Amb a 4				
20	4220	Artemisia vulgaris	AAO24900.1	major pollen allergen Art v 1 precursor	IUIS	89	Art v 1				
21	4220	Artemisia vulgaris	Q84ZX5.1	Major pollen allergen Art v 1 precursor	IUIS	89	Art v 1				
22	4509	Dactylis glomerata	AAK62278.1	group 5 allergen precursor	IUIS	270	Dac g 5				
23	4509	Dactylis glomerata	AAP96759.1	group 1 allergen Dac g 1.01 precursor	IUIS	266	Dac g 1				
24	4509	Dactylis glomerata	CAD20406.1	unnamed protein product	IUIS	266	Dac g 1				
25	4509	Dactylis glomerata	Q7XAX7	Group 1 allergen Dac g 1.02 precursor	IUIS	266	Dac g 1				
26	4522	Lolium perenne	SRC269024	Pollen allergen Lol p 1	IUIS	415	Lol p 1				
27	4550	Secale cereale	AAB58403.1	omega secalin	IUIS	583	Sec c 38				
28	4550	Secale cereale	ABO32294.1	75k gamma secalin	IUIS	584	Sec c 20				
29	4550	Secale cereale	CAA42836.1	Sec1 precursor	IUIS	583	Sec c 38				
30	4550	Secale cereale	Q05573	Sec1 precursor	IUIS	583	Sec c 38				
31	4550	Secale cereale	SRC335637	75k gamma secalin	IUIS	584	Sec c 20				
32	4550	Secale cereale	SRC454240	Sec c 1	IUIS	583	Sec c 38				
33	4565	Triticum aestivum	4GG6_I	Chain I, Protein Complex	IUIS	715	Tri a 21				
